x,y,theta,u,v,r
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.5,3,0,0.4,0,0
0.54,3,0,0.4,0,0
0.58,3,0,0.4,0,0
0.62,3,0,0.4,0,0
0.66,3,0,0.4,0,0
0.7,3,0,0.4,0,0
0.74,3,0,0.4,0,0
0.78,3,0,0.4,0,0
0.82,3,0,0.4,0,0
0.86,3,0,0.4,0,0
0.9,3,0,0.4,0,0
0.94,3,0,0.4,0,0
0.98,3,0,0.4,0,0
1.02,3,0,0.4,0,0
1.06,3,0,0.4,0,0
1.1,3,0,0.4,0,0
1.14,3,0,0.4,0,0
1.18,3,0,0.4,0,0
1.22,3,0,0.4,0,0
1.26,3,0,0.4,0,0
1.3,3,0,0.4,0,0
1.34,3,0,0.4,0,0
1.38,3,0,0.4,0,0
1.42,3,0,0.4,0,0
1.46,3,0,0.4,0,0
1.5,3,0,0.4,0,0
1.54,3,0,0.4,0,0
1.58,3,0,0.4,0,0
1.62,3,0,0.4,0,0
1.66,3,0,0.4,0,0
1.7,3,0,0.4,0,0
1.74,3,0,0.4,0,0
1.78,3,0,0.4,0,0
1.82,3,0,0.4,0,0
1.86,3,0,0.4,0,0
1.9,3,0,0.4,0,0
1.94,3,0,0.4,0,0
1.98,3,0,0.4,0,0
2.02,3,0,0.4,0,0
2.06,3,0,0.4,0,0
2.1,3,0,0.4,0,0
2.14,3,0,0.4,0,0
2.18,3,0,0.4,0,0
2.22,3,0,0.4,0,0
2.26,3,0,0.4,0,0
2.3,3,0,0.4,0,0
2.34,3,0,0.4,0,0
2.38,3,0,0.4,0,0
2.42,3,0,0.4,0,0
2.46,3,0,0.4,0,0
2.5,3,0,0.4,0,0
2.54,3,0,0.4,0,0
2.58,3,0,0.4,0,0
2.62,3,0,0.4,0,0
2.66,3,0,0.4,0,0
2.7,3,0,0.4,0,0
2.74,3,0,0.4,0,0
2.78,3,0,0.4,0,0
2.82,3,0,0.4,0,0
2.86,3,0,0.4,0,0
2.9,3,0,0.4,0,0
2.94,3,0,0.4,0,0
2.98,3,0,0.4,0,0
3.02,3,0,0.4,0,0
3.06,3,0,0.4,0,0
3.1,3,0,0.4,0,0
3.14,3,0,0.4,0,0
3.18,3,0,0.4,0,0
3.22,3,0,0.4,0,0
3.26,3,0,0.4,0,0
3.3,3,0,0.4,0,0
3.34,3,0,0.4,0,0
3.38,3,0,0.4,0,0
3.42,3,0,0.4,0,0
3.46,3,0,0.4,0,0
3.5,3,0,0.4,0,0
3.54,3,0,0.4,0,0
3.58,3,0,0.4,0,0
3.62,3,0,0.4,0,0
3.66,3,0,0.4,0,0
3.7,3,0,0.4,0,0
3.74,3,0,0.4,0,0
3.78,3,0,0.4,0,0
3.82,3,0,0.4,0,0
3.86,3,0,0.4,0,0
3.9,3,0,0.4,0,0
3.94,3,0,0.4,0,0
3.98,3,0,0.4,0,0
4.02,3,0,0.4,0,0
4.06,3,0,0.4,0,0
4.1,3,0,0.4,0,0
4.14,3,0,0.4,0,0
4.18,3,0,0.4,0,0
4.22,3,0,0.4,0,0
4.26,3,0,0.4,0,0
4.3,3,0,0.4,0,0
4.34,3,0,0.4,0,0
4.38,3,0,0.4,0,0
4.42,3,0,0.4,0,0
4.46,3,0,0.4,0,0
4.5,3,0,0.4,0,0
4.54,3,0,0.4,0,0
4.58,3,0,0.4,0,0
4.62,3,0,0.4,0,0
4.66,3,0,0.4,0,0
4.7,3,0,0.4,0,0
4.74,3,0,0.4,0,0
4.78,3,0,0.4,0,0
4.82,3,0,0.4,0,0
4.86,3,0,0.4,0,0
4.9,3,0,0.4,0,0
4.94,3,0,0.4,0,0
4.98,3,0,0.4,0,0
5.02,3,0,0.4,0,0
5.06,3,0,0.4,0,0
5.1,3,0,0.4,0,0
5.14,3,0,0.4,0,0
5.18,3,0,0.4,0,0
5.22,3,0,0.4,0,0
5.26,3,0,0.4,0,0
5.3,3,0,0.4,0,0
5.34,3,0,0.4,0,0
5.38,3,0,0.4,0,0
5.42,3,0,0.4,0,0
5.46,3,0,0.4,0,0
5.5,3,0,0.4,0,0
5.54,3,0,0.4,0,0
5.58,3,0,0.4,0,0
5.62,3,0,0.4,0,0
5.66,3,0,0.4,0,0
5.7,3,0,0.4,0,0
5.74,3,0,0.4,0,0
5.78,3,0,0.4,0,0
5.82,3,0,0.4,0,0
5.86,3,0,0.4,0,0
5.9,3,0,0.4,0,0
5.94,3,0,0.4,0,0
5.98,3,0,0.4,0,0
6.02,3,0,0.4,0,0
6.06,3,0,0.4,0,0
6.1,3,0,0.4,0,0
6.14,3,0,0.4,0,0
6.18,3,0,0.4,0,0
6.22,3,0,0.4,0,0
6.26,3,0,0.4,0,0
6.3,3,0,0.4,0,0
6.34,3,0,0.4,0,0
6.38,3,0,0.4,0,0
6.42,3,0,0.4,0,0
6.46,3,0,0.4,0,0
6.5,3,0,0.4,0,0
6.54,3,0,0.4,0,0
6.58,3,0,0.4,0,0
6.62,3,0,0.4,0,0
6.66,3,0,0.4,0,0
6.7,3,0,0.4,0,0
6.74,3,0,0.4,0,0
6.78,3,0,0.4,0,0
6.82,3,0,0.4,0,0
6.86,3,0,0.4,0,0
6.9,3,0,0.4,0,0
6.94,3,0,0.4,0,0
6.98,3,0,0.4,0,0
7.02,3,0,0.4,0,0
7.06,3,0,0.4,0,0
7.1,3,0,0.4,0,0
7.14,3,0,0.4,0,0
7.18,3,0,0.4,0,0
7.22,3,0,0.4,0,0
7.26,3,0,0.4,0,0
