x,y,theta,u,v,r
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0,0,0
0.5,3,0,0.3,0,0
0.53,3,0,0.3,0,0
0.56,3,0,0.3,0,0
0.59,3,0,0.3,0,0
0.62,3,0,0.3,0,0
0.65,3,0,0.3,0,0
0.68,3,0,0.3,0,0
0.71,3,0,0.3,0,0
0.74,3,0,0.3,0,0
0.77,3,0,0.3,0,0
0.8,3,0,0.3,0,0
0.83,3,0,0.3,0,0
0.86,3,0,0.3,0,0
0.89,3,0,0.3,0,0
0.92,3,0,0.3,0,0
0.95,3,0,0.3,0,0
0.98,3,0,0.3,0,0
1.01,3,0,0.3,0,0
1.04,3,0,0.3,0,0
1.07,3,0,0.3,0,0
1.1,3,0,0.3,0,0
1.13,3,0,0.3,0,0
1.16,3,0,0.3,0,0
1.19,3,0,0.3,0,0
1.22,3,0,0.3,0,0
1.25,3,0,0.3,0,0
1.28,3,0,0.3,0,0
1.31,3,0,0.3,0,0
1.34,3,0,0.3,0,0
1.37,3,0,0.3,0,0
1.4,3,0,0.3,0,0
1.43,3,0,0.3,0,0
1.46,3,0,0.3,0,0
1.49,3,0,0.3,0,0
1.52,3,0,0.3,0,0
1.55,3,0,0.3,0,0
1.58,3,0,0.3,0,0
1.61,3,0,0.3,0,0
1.64,3,0,0.3,0,0
1.67,3,0,0.3,0,0
1.7,3,0,0.3,0,0
1.73,3,0,0.3,0,0
1.76,3,0,0.3,0,0
1.79,3,0,0.3,0,0
1.82,3,0,0.3,0,0
1.85,3,0,0.3,0,0
1.88,3,0,0.3,0,0
1.91,3,0,0.3,0,0
1.94,3,0,0.3,0,0
1.97,3,0,0.3,0,0
2,3,0,0.3,0,0
2.03,3,0,0.3,0,0
2.06,3,0,0.3,0,0
2.09,3,0,0.3,0,0
2.12,3,0,0.3,0,0
2.15,3,0,0.3,0,0
2.18,3,0,0.3,0,0
2.21,3,0,0.3,0,0
2.24,3,0,0.3,0,0
2.27,3,0,0.3,0,0
2.3,3,0,0.3,0,0
2.33,3,0,0.3,0,0
2.36,3,0,0.3,0,0
2.39,3,0,0.3,0,0
2.42,3,0,0.3,0,0
2.45,3,0,0.3,0,0
2.48,3,0,0.3,0,0
2.51,3,0,0.3,0,0
2.54,3,0,0.3,0,0
2.57,3,0,0.3,0,0
2.6,3,0,0.3,0,0
2.63,3,0,0.3,0,0
2.66,3,0,0.3,0,0
2.69,3,0,0.3,0,0
2.72,3,0,0.3,0,0
